1, 16, (314, 380, 350, 464)
2, 16, (1312, 1448, 536, 870)
3, 16, (1159, 1319, 964, 1080)
4, 16, (1644, 1744, 590, 823)
5, 16, (1412, 1490, 530, 833)
6, 16, (1741, 1808, 366, 516)
7, 16, (979, 1015, 286, 376)
8, 16, (1608, 1710, 505, 760)
9, 16, (1614, 1705, 506, 671)
0, 17, (1557, 1716, 781, 1079)
1, 17, (319, 381, 349, 467)
2, 17, (1311, 1446, 538, 881)
3, 17, (1160, 1318, 964, 1080)
4, 17, (1630, 1743, 596, 830)
5, 17, (1411, 1489, 531, 830)
6, 17, (1741, 1808, 365, 516)
7, 17, (978, 1015, 284, 377)
8, 17, (1606, 1708, 505, 760)
9, 17, (1613, 1710, 505, 672)
0, 18, (1557, 1716, 780, 1079)
1, 18, (323, 386, 349, 479)
2, 18, (1310, 1442, 538, 883)
3, 18, (1160, 1317, 964, 1080)
4, 18, (1619, 1742, 600, 825)
5, 18, (1409, 1487, 531, 834)
6, 18, (1741, 1808, 365, 516)
7, 18, (978, 1016, 283, 377)
8, 18, (1605, 1707, 505, 760)
9, 18, (1613, 1710, 505, 672)
0, 19, (1557, 1714, 780, 1079)
1, 19, (327, 394, 349, 508)
2, 19, (1309, 1442, 540, 886)
3, 19, (1159, 1314, 964, 1080)
4, 19, (1619, 1741, 603, 821)
5, 19, (1406, 1488, 530, 836)
6, 19, (1739, 1809, 363, 517)
7, 19, (978, 1017, 283, 378)
8, 19, (1603, 1705, 505, 760)
9, 19, (1614, 1711, 505, 672)
0, 20, (1557, 1716, 779, 1079)
1, 20, (331, 400, 349, 525)
2, 20, (1307, 1440, 541, 886)
3, 20, (1158, 1314, 963, 1080)
4, 20, (1616, 1741, 604, 816)
5, 20, (1404, 1487, 532, 836)
6, 20, (1739, 1809, 363, 517)
7, 20, (979, 1015, 284, 378)
8, 20, (1602, 1704, 506, 761)
9, 20, (1615, 1712, 505, 672)
10, 20, (937, 981, 277, 388)
0, 21, (1558, 1715, 778, 1079)
1, 21, (334, 409, 344, 528)
2, 21, (1304, 1439, 543, 887)
3, 21, (1157, 1314, 963, 1080)
4, 21, (1608, 1740, 600, 851)
5, 21, (1399, 1486, 533, 839)
6, 21, (1739, 1810, 362, 520)
7, 21, (978, 1016, 282, 377)
8, 21, (1598, 1691, 511, 766)
9, 21, (1616, 1713, 505, 672)
10, 21, (940, 980, 275, 387)
0, 22, (1558, 1717, 779, 1079)
1, 22, (340, 419, 345, 525)
2, 22, (1299, 1437, 545, 886)
3, 22, (1157, 1314, 963, 1080)
4, 22, (1614, 1737, 593, 855)
5, 22, (1399, 1486, 533, 838)
6, 22, (1739, 1810, 362, 520)
7, 22, (978, 1015, 284, 378)
8, 22, (1597, 1690, 511, 763)
9, 22, (1617, 1714, 505, 672)
10, 22, (940, 979, 273, 388)
0, 23, (1558, 1719, 779, 1079)
1, 23, (341, 421, 345, 524)
2, 23, (1297, 1434, 546, 884)
3, 23, (1157, 1314, 963, 1080)
4, 23, (1611, 1735, 583, 849)
5, 23, (1397, 1485, 533, 836)
6, 23, (1739, 1810, 363, 520)
7, 23, (978, 1016, 284, 378)
8, 23, (1593, 1685, 512, 760)
9, 23, (1618, 1715, 505, 672)
10, 23, (941, 981, 281, 388)
0, 24, (1558, 1720, 777, 1079)
1, 24, (347, 426, 344, 519)
2, 24, (1296, 1435, 546, 882)
3, 24, (1158, 1314, 963, 1080)
4, 24, (1617, 1732, 577, 839)
5, 24, (1399, 1484, 535, 836)
6, 24, (1739, 1810, 363, 520)
7, 24, (977, 1014, 285, 377)
8, 24, (1592, 1682, 513, 757)
10, 24, (941, 979, 280, 387)
0, 25, (1558, 1721, 777, 1078)
1, 25, (353, 430, 339, 520)
2, 25, (1296, 1425, 546, 888)
3, 25, (1158, 1314, 963, 1080)
4, 25, (1610, 1728, 573, 828)
5, 25, (1394, 1481, 536, 837)
6, 25, (1739, 1810, 363, 520)
7, 25, (978, 1015, 284, 376)
8, 25, (1591, 1680, 513, 751)
10, 25, (941, 981, 278, 387)
0, 26, (1559, 1721, 777, 1079)
1, 26, (361, 430, 345, 513)
2, 26, (1295, 1423, 547, 888)
3, 26, (1157, 1314, 963, 1080)
4, 26, (1602, 1725, 568, 829)
5, 26, (1392, 1481, 537, 837)
6, 26, (1739, 1810, 363, 520)
7, 26, (978, 1014, 285, 375)
8, 26, (1590, 1679, 513, 748)
10, 26, (942, 981, 278, 388)
0, 27, (1559, 1721, 779, 1079)
1, 27, (367, 431, 340, 515)
2, 27, (1294, 1421, 548, 889)
3, 27, (1155, 1314, 963, 1080)
4, 27, (1600, 1723, 568, 832)
5, 27, (1391, 1482, 537, 839)
6, 27, (1739, 1810, 362, 520)
7, 27, (978, 1014, 283, 374)
8, 27, (1587, 1678, 512, 746)
10, 27, (944, 981, 279, 387)
0, 28, (1559, 1721, 782, 1079)
1, 28, (370, 433, 338, 515)
2, 28, (1294, 1420, 549, 889)
3, 28, (1155, 1315, 963, 1080)
4, 28, (1592, 1714, 613, 820)
5, 28, (1389, 1483, 538, 838)
6, 28, (1740, 1811, 363, 521)
7, 28, (978, 1014, 283, 374)
8, 28, (1585, 1677, 513, 744)
10, 28, (944, 980, 283, 385)
0, 29, (1559, 1721, 782, 1079)
1, 29, (374, 437, 335, 515)
2, 29, (1294, 1416, 544, 892)
3, 29, (1155, 1312, 964, 1080)
4, 29, (1597, 1715, 586, 828)
